Rank	NCT Number	Title	Status	Study Results	Conditions	Interventions	Gender	Age	Phases	Enrollment	Study Type	Start Date	Locations	URL
544	NCT03387618	Feasibility Assessment of Next-generation PET Technology and Procedures	Recruiting	No Results Available	New-generation Digital PET/CT Imaging	Diagnostic Test: Digital PET/CT imaging	All	18 Years and older   (Adult, Older Adult)	Not Applicable	200	Interventional	September 19, 2017	Martha Morehouse Medical Plaza, Columbus, Ohio, United States	https://ClinicalTrials.gov/show/NCT03387618
545	NCT03382106	Smoking Cessation and Functional CT Assessment	Recruiting	No Results Available	Emphysema	Drug: Sildenafil 20 MG|Drug: Placebo Oral Tablet	All	25 Years to 65 Years   (Adult, Older Adult)	Phase 4	80	Interventional	March 19, 2018	University of Iowa Hospitals and Clinics, Iowa City, Iowa, United States	https://ClinicalTrials.gov/show/NCT03382106
546	NCT03380169	Preventing Surgical Site Infection by Using Prophylactic Occlusive Ionic Silver-containing Dressing	Recruiting	No Results Available	Surgical Site Infection	Other: Prophylactic advance wound dressing|Other: Prophylactic conventional wound dressing	All	18 Years and older   (Adult, Older Adult)	Not Applicable	200	Interventional	October 15, 2017	Princess Margaret Hospital, Hong Kong, Hong Kong	https://ClinicalTrials.gov/show/NCT03380169
547	NCT03377946	Effect of Probiotics on Pre-diabetes and Diabetes in China	Recruiting	No Results Available	Type 2 Diabetes Mellitus	Biological: probiotics|Biological: placebo	All	18 Years to 60 Years   (Adult)	Not Applicable	220	Interventional	December 21, 2017	health management center,Southwest hospital, Chongqing, Chongqing, China	https://ClinicalTrials.gov/show/NCT03377946
548	NCT03377088	Aromatherapy Randomization of Pain Management in Adults	Recruiting	No Results Available	Back Pain|Back Pain, Low|Sciatica	Other: Rose oil|Other: Almond Oil	All	18 Years to 110 Years   (Adult, Older Adult)	Not Applicable	60	Interventional	December 11, 2017	Stony Brook University Hospital Emergency Department, Stony Brook, New York, United States	https://ClinicalTrials.gov/show/NCT03377088
549	NCT03373734	Enjoy Your Bump : Online Cognitive Behavioural Therapy in Pregnancy	Recruiting	No Results Available	Perinatal Mental Health|Antenatal Depression|Antenatal Anxiety	Device: Enjoy Your Bump	Female	18 Years to 55 Years   (Adult)	Not Applicable	30	Interventional	May 31, 2017	NHS Lothian / University of Edinburgh, Edinburgh, Scotland, United Kingdom	https://ClinicalTrials.gov/show/NCT03373734
550	NCT03372707	Cuff Leak Test and Airway Obstruction in Mechanically Ventilated ICU	Recruiting	No Results Available	Laryngeal Edema	Diagnostic Test: Cuff Leak Test	All	18 Years and older   (Adult, Older Adult)	Not Applicable	100	Interventional	July 5, 2018	St Joseph's Hospital, Hamilton, Ontartio, Canada|Jagiellonian University Medical College, Kraków, Lesser Poland, Poland|Imam Adbulrahman Bin Faisal University, Dammam, Eastern Province, Saudi Arabia	https://ClinicalTrials.gov/show/NCT03372707
551	NCT03366805	A Patient Education Video Program for Post-Operative Recovery After Upper Extremity Surgery	Recruiting	No Results Available	Analgesics, Opioid|Orthopedic Surgery|Ambulatory Surgery|Education, Patient|Injuries and Wounds	Behavioral: Pain Management Patient Education Video|Behavioral: Wound Care Patient Education Video	All	18 Years and older   (Adult, Older Adult)	Not Applicable	400	Interventional	November 30, 2017	Institute for Orthopedics and Neurosciences, Roanoke, Virginia, United States	https://ClinicalTrials.gov/show/NCT03366805
552	NCT03360279	DCB for Dialysis Access Stent Graft Restenosis	Recruiting	No Results Available	Hemodialysis Access Failure (Disorder)|Stent-Graft Restenosis|Arteriovenous Graft|Drug-coated Balloon	Device: Regular balloon|Device: DCB (paclitaxel-coated balloon)	All	20 Years to 90 Years   (Adult, Older Adult)	Not Applicable	40	Interventional	March 5, 2017	National Taiwan University Hospital Hsinchu Branch, Hsinchu, Hsinchu City, Taiwan	https://ClinicalTrials.gov/show/NCT03360279
553	NCT03359447	Iron Deficiency Anemia, Iron Supplementation and Genomic Stability in Infants	Recruiting	No Results Available	Anemia|Iron-deficiency	Drug: Weekly Ferrous Sulfate|Drug: Daily Ferrous Sulfate	All	3 Months to 3 Months   (Child)	Phase 4	204	Interventional	August 1, 2017	Instituto de Desarrollo e Investigaciones Pediátricas Prof. Dr. Fernando E. Viteri, La Plata, Buenos Aires, Argentina	https://ClinicalTrials.gov/show/NCT03359447
554	NCT03354572	Pilot Study: Postoperative Pain Reduction by Pre Emptive N-Acetylcysteine	Recruiting	No Results Available	Postoperative Pain	Drug: Acetyl cysteine|Drug: Placebos	All	18 Years and older   (Adult, Older Adult)	Phase 4	60	Interventional	October 20, 2017	Maxima Medical Centre, Eindhoven, Noord Brabant, Netherlands	https://ClinicalTrials.gov/show/NCT03354572
555	NCT03348605	Descriptive Study of Receptive Fields in Lower Limb Amputees	Enrolling by invitation	No Results Available	Lower Limb Amputation Below Knee (Injury)	Device: Phantom Stimulator, Cort X Sensorics, Spaichingen, Germany	All	18 Years and older   (Adult, Older Adult)	Not Applicable	35	Interventional	October 27, 2017	Rehaklinik Bellikon, Bellikon, Aargau, Switzerland	https://ClinicalTrials.gov/show/NCT03348605
556	NCT03345615	Standard Versus Intensive Monitoring After Myocardial Infarction Looking for Atrial Fibrillation	Recruiting	No Results Available	Atrial Fibrillation New Onset|Myocardial Infarction	Diagnostic Test: 30-day ambulatory cardiac event monitor	All	18 Years and older   (Adult, Older Adult)	Not Applicable	240	Interventional	November 1, 2017	Vancouver General Hospital, Vancouver, British Columbia, Canada	https://ClinicalTrials.gov/show/NCT03345615
557	NCT03340818	Bone Marrow Concentrate Intradiscal Injection for Chronic Discogenic Low Back Pain	Recruiting	No Results Available	Discogenic Pain	Other: Bone Marrow Concentrate|Other: Placebo	All	18 Years to 55 Years   (Adult)	Not Applicable	60	Interventional	August 1, 2018	Jordan Young Institute, Virginia Beach, Virginia, United States	https://ClinicalTrials.gov/show/NCT03340818
558	NCT03340051	Remote Alcohol Monitoring and Episodic Thinking	Recruiting	No Results Available	Alcohol Dependence|Alcohol-Related Disorders	Behavioral: Episodic Future Thinking (EFT)|Behavioral: Episodic Recent Thinking (ERT)	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	200	Interventional	September 21, 2017	Virginia Tech Carilion Research Institute, Roanoke, Virginia, United States	https://ClinicalTrials.gov/show/NCT03340051
559	NCT03337217	Colonoscopy in the Prone Position for Patients With BMI Greater Than 30	Recruiting	No Results Available	Obesity	Procedure: Position during colonoscopy	All	18 Years to 90 Years   (Adult, Older Adult)	Not Applicable	150	Interventional	December 10, 2017	University of Virginia, Charlottesville, Virginia, United States	https://ClinicalTrials.gov/show/NCT03337217
560	NCT03331965	Metoclopramide Versus Placebo for GJ Placement	Recruiting	No Results Available	Radiation Exposure|Enteral Nutrition	Drug: Metoclopramide 5 MG/ML Injectable Solution|Drug: Saline	All	18 Years and older   (Adult, Older Adult)	Phase 2	110	Interventional	April 9, 2018	Duke University Hospital, Durham, North Carolina, United States	https://ClinicalTrials.gov/show/NCT03331965
561	NCT03330509	Effectiveness of the Supportive and Palliative Care Review Kit (SPARK) for Cancer Patients in the Acute Hospital	Recruiting	No Results Available	Health Services Research	Other: SPARK intervention	All	21 Years to 110 Years   (Adult, Older Adult)	Not Applicable	6000	Interventional	December 1, 2017	National Cancer Centre Singapore, Singapore, Singapore	https://ClinicalTrials.gov/show/NCT03330509
562	NCT03327844	Regenerative Endodontic Therapy (RET) for the Management of Immature Non-vital Permanent Teeth in Children	Recruiting	No Results Available	Infected Immature Permanent Teeth	Drug: RET using antibiotics (Ciprofloxacin and Metronidazole)|Drug: RET using non-setting Calcium Hydroxide	All	6 Years to 16 Years   (Child)	Phase 2	60	Interventional	March 1, 2017	School Dental Service, Health Promotion Board, Singapore, Singapore|National University Hospital, Singapore, Singapore	https://ClinicalTrials.gov/show/NCT03327844
563	NCT03324659	Meditation and Exercise to Treat Chronic Back Pain	Recruiting	No Results Available	Chronic Low Back Pain	Behavioral: Exercise and Meditation|Behavioral: Control	All	18 Years to 60 Years   (Adult)	Not Applicable	42	Interventional	January 26, 2018	Duquesne University, Pittsburgh, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT03324659
564	NCT03324516	The Effect of Temporal Muscle Suspension of Temporal Hollowing	Recruiting	No Results Available	Temporal Wasting	Procedure: Re-Suspension of the temporal muscle after a craniotomy.|Procedure: Traditional re-suspension of the temporal muscle	All	18 Years and older   (Adult, Older Adult)	Not Applicable	30	Interventional	February 1, 2018	Johns Hopkins Outpatient CENTER, Baltimore, Maryland, United States	https://ClinicalTrials.gov/show/NCT03324516
565	NCT03324009	2-stage Cervical Cancer Screening in Botswana	Recruiting	No Results Available	Cervical Cancer|HIV/AIDS	Diagnostic Test: 2-stage screen	Female	25 Years and older   (Adult, Older Adult)	Not Applicable	300	Interventional	April 20, 2018	Princess Marina Hospital, Gaborone, Botswana	https://ClinicalTrials.gov/show/NCT03324009
566	NCT03307070	Adapted Cognitive Behavioral Treatment for Depression in Patients With Moderate to Severe Traumatic Brain Injury	Recruiting	No Results Available	Major Depressive Disorder|Traumatic Brain Injury	Behavioral: Cognitive Behavioral Therapy for individuals with TBI|Other: Waitlist Control	All	18 Years to 50 Years   (Adult)	Not Applicable	50	Interventional	September 23, 2017	Massachusetts General Hospital, Boston, Massachusetts, United States	https://ClinicalTrials.gov/show/NCT03307070
567	NCT03303053	Efficacy and Safety of Cholestyramine and Prednisolone as Adjunctive Therapy in Treatment of Overt Hyperthyroidism	Recruiting	No Results Available	Hyperthyroidism|Graves Disease	Drug: Cholestyramine Powder 4g|Drug: Prednisolone|Drug: Standard treatment	All	18 Years and older   (Adult, Older Adult)	Phase 3	135	Interventional	May 11, 2017	Hospital Queen Elizabeth 2, Kota Kinabalu, Sabah, Malaysia|Hospital Ampang, Ampang, Selangor, Malaysia|Hospital Putrajaya, Putrajaya, Wilayah Persekutuan, Malaysia	https://ClinicalTrials.gov/show/NCT03303053
568	NCT03302572	Effectiveness Brief Information Advanced Directives Primary Care	Recruiting	No Results Available	Primary Care|Advance Directives|Randomized Controlled Trial	Other: Brief information group	All	18 Years and older   (Adult, Older Adult)	Not Applicable	330	Interventional	November 3, 2016	Institu Català de la Salut, L'Hospitalet de Llobregat, Barcelona, Spain	https://ClinicalTrials.gov/show/NCT03302572
569	NCT03301831	Resourcefulness Intervention With Parents of Technology-Dependent Children	Recruiting	No Results Available	Depressive Symptoms|Multiple Chronic Conditions|Family Caregivers	Behavioral: Resourcefulness Training	All	18 Years and older   (Adult, Older Adult)	Not Applicable	94	Interventional	February 5, 2018	University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States	https://ClinicalTrials.gov/show/NCT03301831
570	NCT03298997	Ligation and Hemorrhoidopexy Technique Versus Ligation of Hemorrhoidal Arteries Using Ultrasound for Hemorrhoids	Recruiting	No Results Available	Hemorrhoids	Procedure: Ligation and Hemorrhoidopexy|Procedure: Ultrasound Guided Ligation of Hemorrhoidal Arteries	All	18 Years to 80 Years   (Adult, Older Adult)	Not Applicable	60	Interventional	October 1, 2017	Department of Surgery, University Hospital of Larissa, Lárisa, Larissa, Greece	https://ClinicalTrials.gov/show/NCT03298997
571	NCT03297151	Protein Supplementation and Recovery of Muscle Function	Recruiting	No Results Available	Resistance Training|Muscle Damage	Dietary Supplement: CONTROL|Dietary Supplement: Whey Protein Concentrate|Dietary Supplement: Whey Protein Hydrolysate	Male	18 Years to 35 Years   (Adult)	Not Applicable	24	Interventional	July 1, 2017	University of Limerick, Limerick, Co Limerick, Ireland	https://ClinicalTrials.gov/show/NCT03297151
572	NCT03275896	Evaluation of the Efficacy of Descemet Membrane Transplantation for the Treatment of Fuchs' Endothelial Dystrophy	Recruiting	No Results Available	Fuchs' Endothelial Dystrophy	Other: Descemet Membrane Transplantation	All	21 Years to 85 Years   (Adult, Older Adult)	Early Phase 1	20	Interventional	September 2016	Singapore National Eye Centre, Singapore, Singapore	https://ClinicalTrials.gov/show/NCT03275896
573	NCT03274518	Expanded Hemodialysis Versus Online Hemodiafiltration	Recruiting	No Results Available	Dialysis Related Complication|Dialysis Hypotension|Hemodialysis-Induced Symptom	Device: Expanded Hemodialysis|Device: Online Hemodiafiltration	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	16	Interventional	November 13, 2017	Hospital das Clínicas, São Paulo, Brazil	https://ClinicalTrials.gov/show/NCT03274518
574	NCT03273699	Mindfulness Meditation Utilizing an EEG Biofeedback Device for the Treatment for Obsessive Compulsive Disorder	Recruiting	No Results Available	Obsessive-Compulsive Disorder	Device: Mindfulness	All	18 Years to 60 Years   (Adult)	Not Applicable	100	Interventional	April 10, 2017	Sunnybrook Health Sciences Centre, Toronto, Ontario, Canada	https://ClinicalTrials.gov/show/NCT03273699
575	NCT03256461	Lactate Clearance Goal-directed Therapy in Sepsis	Recruiting	No Results Available	Sepsis	Behavioral: Lactate clearance 10% target group|Behavioral: Lactate clearance 20% target group|Behavioral: Standard EGDT group	All	18 Years and older   (Adult, Older Adult)	Not Applicable	1128	Interventional	August 21, 2017	NanFang hospital, Guangzhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT03256461
576	NCT03245853	Epi-On Corneal Crosslinking for Keratoconus	Enrolling by invitation	No Results Available	Keratoconus|Keratoconus, Unstable	Drug: Riboflavin 5'-Phosphate	All	14 Years to 40 Years   (Child, Adult)	Phase 4	20	Interventional	July 18, 2017	Comprehensive EyeCare of Central Ohio, Westerville, Ohio, United States	https://ClinicalTrials.gov/show/NCT03245853
577	NCT03239808	Incremental Haemodialysis in Incident Patients	Recruiting	No Results Available	Renal Disease, End-Stage	Procedure: Incremental haemodialysis|Procedure: Conventional haemodialysis	All	18 Years and older   (Adult, Older Adult)	Not Applicable	152	Interventional	March 14, 2018	FundeSalud. Junta de Extremadura, Mérida, Badajoz, Spain|Hospital Virgen del Puerto, Plasencia, Cáceres, Spain|Hospital San Pedro de Alcántara, Cáceres, Spain	https://ClinicalTrials.gov/show/NCT03239808
578	NCT03238768	Enhanced Nutrition for Preterm Infants	Recruiting	No Results Available	Preterm Birth	Other: Enhanced Intravenous Nutrition|Other: Standard Intravenous Nutrition	All	up to 30 Weeks   (Child)	Not Applicable	80	Interventional	August 15, 2017	University of Minnesota Masonic Children's Hospital, Minneapolis, Minnesota, United States	https://ClinicalTrials.gov/show/NCT03238768
579	NCT03235739	Ancillary Effects of Oral Naloxegol (Movantik)	Recruiting	No Results Available	Pain, Postoperative	Drug: Naloxegol 25 MG|Drug: Placebo	All	18 Years and older   (Adult, Older Adult)	Phase 4	129	Interventional	October 1, 2017	The Cleveland Clinic Foundation, Cleveland, Ohio, United States	https://ClinicalTrials.gov/show/NCT03235739
580	NCT03234569	Safety and Efficacy of Sonohysterosalpingography for the Evaluation of Infertility	Recruiting	No Results Available	Infertility, Female	Procedure: sonoHSG	Female	18 Years to 50 Years   (Adult)	Not Applicable	30	Interventional	January 31, 2018	Northwell Health- North Shore University Hospital, Manhasset, New York, United States	https://ClinicalTrials.gov/show/NCT03234569
581	NCT03230890	HIRREM in Military Personnel	Recruiting	No Results Available	Stress Disorders, Post-Traumatic	Device: HIRREM	All	18 Years and older   (Adult, Older Adult)	Not Applicable	40	Interventional	February 16, 2015	Wake Forest School of Medicine, Winston-Salem, North Carolina, United States	https://ClinicalTrials.gov/show/NCT03230890
582	NCT03230656	Cognitive-Communication Screening and Early Therapy for Adults With Mild TBI	Recruiting	No Results Available	Concussion|Mild Traumatic Brain Injury|Cognitive Communication Disorder	Other: Early cognitive-communication therapy	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	300	Interventional	January 2017	Northern Arizona University, Flagstaff, Arizona, United States	https://ClinicalTrials.gov/show/NCT03230656
583	NCT03227614	Friends/Family in the Abortion Procedure Room (FAIR)	Enrolling by invitation	No Results Available	Anxiety|Pain|Abortion	Behavioral: Support Person Intervention	All	Child, Adult, Older Adult	Not Applicable	410	Interventional	July 18, 2017	Planned Parentehood of Southwest and Central Florida (PPSWCF), Tampa, Florida, United States	https://ClinicalTrials.gov/show/NCT03227614
584	NCT03196349	Comparison of Oral Anticoagulants for Extended VEnous Thromboembolism	Recruiting	No Results Available	Venous Thromboembolism	Drug: Warfarin|Drug: Apixaban 2.5 MG|Drug: Rivaroxaban 10 MG	All	18 Years and older   (Adult, Older Adult)	Phase 4	3000	Interventional	August 1, 2018	University of California Irvine Medical Center, Orange, California, United States	https://ClinicalTrials.gov/show/NCT03196349
585	NCT03192020	Trial Comparing Treatment Strategies in Dupuytren's Contracture	Recruiting	No Results Available	Dupuytren Contracture	Procedure: Percutaneous needle fasciotomy|Drug: Collagenase Clostridium Histolyticum 2.9 MG/ML [Xiaflex]|Procedure: Limited fasciectomy	All	18 Years to 80 Years   (Adult, Older Adult)	Phase 4	278	Interventional	September 15, 2017	Central Hospital of Central Finland, Jyväskylä, Keski-Suomi, Finland|Tampere University Hospital, Tampere, Pirkanmaa, Finland|Oulu University hospital, Oulu, Pohjois-Pohjanmaa, Finland|Kuopio University hospital, Kuopio, Pohjois-Savo, Finland|Helsinki University hospital, Helsinki, Uusimaa, Finland|Turku University Hospital, Turku, Varsinais-Suomi, Finland	https://ClinicalTrials.gov/show/NCT03192020
586	NCT03036592	MTNR1B SNP*Food Timing Interaction on Glucose Control	Recruiting	No Results Available	Non-Diabetic Disorder of Endocrine Pancreas	Behavioral: Early OGTT|Behavioral: Late OGTT	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	1000	Interventional	November 1, 2016	University of Murcia, Murcia, Spain	https://ClinicalTrials.gov/show/NCT03036592
587	NCT02948023	Stem Cells Therapy for Corneal Blindness	Recruiting	No Results Available	Corneal Injuries|Corneal Burns|Corneal Scars and Opacities	Biological: Ex-vivo cultivated limbal stem cell pool	All	18 Years to 60 Years   (Adult)	Phase 1	100	Interventional	August 31, 2016	LV Prasad Eye Institute, Hyderabad, Telangana, India	https://ClinicalTrials.gov/show/NCT02948023
588	NCT02814123	Effect of Basal-Bolus Closed-Loop Co-Administration of Insulin and Pramlintide on Improving the Glycemic Control in Type 1 Diabetes	Recruiting	No Results Available	Diabetes Mellitus, Type 1	Other: 24-hour inpatient intervention	All	18 Years and older   (Adult, Older Adult)	Phase 2	28	Interventional	January 13, 2017	McGill University Health Centre, Montréal, Quebec, Canada	https://ClinicalTrials.gov/show/NCT02814123
589	NCT02724163	International Randomised Phase III Clinical Trial in Children With Acute Myeloid Leukaemia	Recruiting	No Results Available	Acute Myeloid Leukaemia	Drug: Gemtuzumab ozogamicin|Drug: Liposomal daunorubicin|Drug: Mitoxantrone|Drug: Fludarabine|Drug: Cytarabine|Drug: Busulfan|Drug: Cyclophosphamide	All	up to 17 Years   (Child)	Phase 3	700	Interventional	April 2016	Royal Aberdeen Children's Hospital, Aberdeen, United Kingdom|Aberdeen Royal Infirmary, NHS Grampian, Aberdeen, United Kingdom|Belfast City Hospital, Belfast Health and Social Care Trust, Belfast, United Kingdom|Birmingham Children's Hospital NHS Foundation Trust, Birmingham, United Kingdom|University Hospitals Bristol NHS Foundation Trust, Bristol, United Kingdom|Addenbrookes Hospital, Cambridge University Hospitals NHS Foundation Trust, Cambridge, United Kingdom|Cardiff and Vale University Health Board, Noah's Ark Children's Hospital for Wales, Cardiff, United Kingdom|NHS Lothian, Royal Hospital for Sick Children, Edinburgh, United Kingdom|NHS Greater Glasgow and Clyde, The Royal Hospital for Children, Glasgow, United Kingdom|Leeds General Infirmary, Leeds Teaching Hospitals NHS Trust, Leeds, United Kingdom|Alder Hey Children's NHS Foundation Trust, Liverpool, United Kingdom|University College London Hospitals NHS Foundation Trust, London, United Kingdom|The Royal Marsden NHS Foundation Trust, London, United Kingdom|Great Ormond Street Hospital For Children NHS Trust, London, United Kingdom|Royal Manchester Childrens' Hospital , Central Manchester University Hospitals NHS Foundation Trust, Manchester, United Kingdom|The Christie NHS Foundation, Manchester, United Kingdom|The Newcastle Upon Tyne Hospitals NHS Foundation Trust, Newcastle, United Kingdom|Nottingham University Hospitals NHS Trust, Nottingham, United Kingdom|John Radcliffe Hospital, Oxford Radcliffe Hospitals NHS Trust, Oxford, United Kingdom|Sheffield Children's NHS Foundation Trust, Sheffield, United Kingdom|Southampton University Hospitals NHS Trust, Southampton, United Kingdom	https://ClinicalTrials.gov/show/NCT02724163
590	NCT02479100	Contrast Enhanced Spectral Mammography (CESM) Study	Recruiting	No Results Available	Breast Cancer	Diagnostic Test: Contrast Enhanced Spectral Mammogram	Female	18 Years to 85 Years   (Adult, Older Adult)	Not Applicable	100	Interventional	March 2016	Cambridge University Hospitals NHS Foundation Trust, Cambridge, Cambridgeshire, United Kingdom	https://ClinicalTrials.gov/show/NCT02479100
591	NCT03799237	Combating Dengue With Innovative, Paradigm-shift-Strategies: Early Dengue Surveillance in Adult Aedes Mosquitoes	Recruiting	No Results Available	Dengue	Other: GOS trap and dengue NS1 antigen kit	All	18 Years and older   (Adult, Older Adult)	Not Applicable	7979	Interventional	October 1, 2018	Petaling Jaya City Council, Petaling Jaya, Selangor, Malaysia	https://ClinicalTrials.gov/show/NCT03799237
592	NCT03759795	Bournemouth University Resilience Training for Surgeons	Recruiting	No Results Available	Effect of Training	Behavioral: ACTr (Acceptance and Commitment Training)	All	21 Years to 75 Years   (Adult, Older Adult)	Not Applicable	100	Interventional	December 14, 2018	Royal Bournemouth and Christchurch Hospitals NHS Foundation Trust, Bournemouth, United Kingdom|Poole Hopsital, Poole, United Kingdom	https://ClinicalTrials.gov/show/NCT03759795
593	NCT03750409	Assessing Feasibility of Prolonged Repetitive Near Infrared Light Stimulation in Early to Mid-Stage Dementia	Recruiting	No Results Available	Mild to Moderate Dementia	Device: Helmet	All	50 Years to 85 Years   (Adult, Older Adult)	Not Applicable	100	Interventional	October 15, 2018	Quietmind Foundation, Elkins Park, Pennsylvania, United States|Baylor Scott and White Medical Center, Temple, Temple, Texas, United States	https://ClinicalTrials.gov/show/NCT03750409
594	NCT03736031	With Love: Using Promotoras for a Hispanic Community Palliative Care Promotora Palliative Care	Recruiting	No Results Available	Palliative Care	Behavioral: Intervention (Promotora)	All	18 Years to 100 Years   (Adult, Older Adult)	Not Applicable	150	Interventional	April 19, 2018	Texas Tech University Health Sciences Center El Paso, El Paso, Texas, United States	https://ClinicalTrials.gov/show/NCT03736031
595	NCT03726437	Efficacy of a Web-based Sexual Violence Risk Reduction Program for Female College Students	Enrolling by invitation	No Results Available	Sexual Violence	Behavioral: RealConsent|Behavioral: Stress and Mood Management	Female	18 Years to 20 Years   (Adult)	Not Applicable	750	Interventional	October 17, 2018	Georgia State University, Atlanta, Georgia, United States	https://ClinicalTrials.gov/show/NCT03726437
596	NCT03706014	Innovative Family Prevention With Latino Siblings in Disadvantaged Settings	Recruiting	No Results Available	Promotion of Positive Sibling Relationships	Behavioral: SIBS Program|Behavioral: Control	All	5 Years and older   (Child, Adult, Older Adult)	Not Applicable	288	Interventional	September 29, 2018	Arizona State University, Tempe, Arizona, United States	https://ClinicalTrials.gov/show/NCT03706014
597	NCT03695679	Interactive Computer-based Intervention and Safe Sex Practice in University Students	Recruiting	No Results Available	Safe Sex	Behavioral: Interactive computer-based intervention	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	500	Interventional	September 1, 2017	School of Nursing, LKS Faulty of Medicine, The University of Hong Kong, Hong Kong, Hong Kong	https://ClinicalTrials.gov/show/NCT03695679
598	NCT03669432	To Study the Impact of Radiation Treatment After Surgery in Patient With Locally Advanced Thyroid Cancer.	Recruiting	No Results Available	Thyroid Cancer Stage IV|Radiation Toxicity	Radiation: Intensity Modulated Radiotherapy|Procedure: Surgery alone	All	18 Years to 70 Years   (Adult, Older Adult)	Not Applicable	72	Interventional	July 2013	Gouri Pantvaidya, Mumbai, Maharashtra, India	https://ClinicalTrials.gov/show/NCT03669432
599	NCT03658941	Dural Tenting Sutures in Neurosurgery - is it Necessary?	Enrolling by invitation	No Results Available	Epidural Hematoma	Procedure: No dural tenting techniques|Procedure: Dural tenting techniques	All	18 Years to 75 Years   (Adult, Older Adult)	Not Applicable	2000	Interventional	September 7, 2018	5 Neurosurgery and Pediatric Neurosurgery Department in Lublin, Medical University of Lublin, Lublin, Lubelskie, Poland|Department of Neurosurgery, Medical University of Warsaw, Warsaw, Mazovian, Poland|Department of Neurosurgery and Oncology of Central Nervous System, Barlicki University Hospital, Medical University of Lodz, Łódź, Łódzkie, Poland|Department of Neurosurgery, Medical University of Silesia, Regional Hospital, Sosnowiec, Sosnowiec, Śląskie, Poland	https://ClinicalTrials.gov/show/NCT03658941
600	NCT03657212	Enhancing Memory Consolidation in Older Adults	Recruiting	No Results Available	Aging	Drug: Zolpidem	All	60 Years to 75 Years   (Adult, Older Adult)	Phase 4	30	Interventional	October 1, 2018	Sleep and Cognition Lab, Irvine, California, United States	https://ClinicalTrials.gov/show/NCT03657212
601	NCT03648086	Intestinal Microbiota Transplantation for Nonalcoholic Fatty Liver Disease	Recruiting	No Results Available	Non-alcoholic Fatty Liver Disease	Other: intestinal microbiota transplantation	All	18 Years to 65 Years   (Adult, Older Adult)	Not Applicable	30	Interventional	November 14, 2017	Zhongshan Hospital Affiliated to Xiamen University, Xiamen, Fujian, China	https://ClinicalTrials.gov/show/NCT03648086
602	NCT03647449	Examining the Effects of Juice Fasting	Recruiting	No Results Available	Epigenetics|Microbiome	Dietary Supplement: Juice|Behavioral: Caloric restriction via Plant-based meals|Dietary Supplement: Plant-based meal	All	18 Years to 35 Years   (Adult)	Not Applicable	18	Interventional	July 10, 2018	Northwestern University, Chicago, Illinois, United States	https://ClinicalTrials.gov/show/NCT03647449
603	NCT03635775	Single-session tDCS in Cerebral Palsy	Recruiting	No Results Available	Cerebral Palsy|Perinatal Stroke|Periventricular Leukomalacia	Device: Active tDCS|Device: Sham tDCS	All	7 Years to 21 Years   (Child, Adult)	Not Applicable	32	Interventional	May 1, 2018	Samuel Nemanich, Minneapolis, Minnesota, United States	https://ClinicalTrials.gov/show/NCT03635775
604	NCT02029937	High Resolution Microendoscopy for the Detection of Esophageal Squamous Cell Neoplasia	Recruiting	No Results Available	Suspected or Known Squamous Cell Neoplasia|Prior History of Squamous Cell Dysplasia and /or Neoplasia	Drug: Proflavine, high resolution imaging	All	18 Years and older   (Adult, Older Adult)	Phase 2	1300	Interventional	January 2014	Baylor College of Medicine, Houston, Texas, United States|First Hospital of Jilin University, Changchun, Jilin, China|Cancer Institute and Hospital, Chinese Academy of Medical Sciences (CICAMS), Beijing, China	https://ClinicalTrials.gov/show/NCT02029937
605	NCT03593356	Baby's First Years	Recruiting	No Results Available	Child Development|Brain Development|Household and Family Processes	Behavioral: Cash Gift Payments	Female	18 Years and older   (Adult, Older Adult)	Not Applicable	1000	Interventional	May 9, 2018	Hospital 1, Omaha, Nebraska, United States	https://ClinicalTrials.gov/show/NCT03593356
606	NCT03588806	Use of Xtampza ER to Overcome Difficulties in Swallowing Opioid Pills	Recruiting	No Results Available	Chronic Pain|Opioid Use|Deglutition	Drug: Xtampza ER (oxycodone)	All	21 Years to 65 Years   (Adult, Older Adult)	Phase 4	20	Interventional	May 1, 2018	UPMC Pain Medicine at Centre Commons, Pittsburgh, Pennsylvania, United States	https://ClinicalTrials.gov/show/NCT03588806
607	NCT03588572	The Effect of Venlafaxine on Language Function in Patients With Subcortical Aphasia: A fMRI Study	Recruiting	No Results Available	Subcortical Aphasia|Ischemic Stroke	Drug: Venlafaxine hydrochloride capsules	All	18 Years to 75 Years   (Adult, Older Adult)	Not Applicable	45	Interventional	August 1, 2018	Guangzhou General Hospital of Guangzhou Military Command, Guangzhou, Guangdong, China|Cerebrovascular Department of General Hospital of Guangzhou Military Command of PLA, GuangZhou, Guangdong, China	https://ClinicalTrials.gov/show/NCT03588572
